word,frequency
normal,2254
suggest,2253
cheesesteak,2253
just right,2253
friendly helpful,2248
bartenders,2246
prefer,2245
vehicle,2243
cakes,2242
nicely,2240
juicy,2237
monday,2237
road,2229
ramen,2229
craving,2228
experienced,2227
roasted,2225
fancy,2224
returned,2224
reasonably,2224
spinach,2223
means,2219
workers,2218
shot,2210
santa barbara,2209
app,2209
classic,2208
lemon,2205
wash,2203
combo,2203
art,2194
spring,2193
gluten,2193
fit,2191
break,2180
deep,2178
positive,2174
yesterday,2172
dress,2171
phenomenal,2168
food amazing,2162
platter,2161
tv,2160
spoke,2160
rich,2159
cozy,2156
disappoint,2156
experiences,2150
beat,2150
children,2148
request,2142
interior,2141
glasses,2140
juice,2140
repair,2139
pedicure,2136
forever,2130
apple,2128
rib,2126
chairs,2125
smell,2125
previous,2121
continue,2111
best ve,2109
cleaned,2107
basic,2105
support,2104
mistake,2101
known,2100
sugar,2097
pizzas,2094
happen,2091
relaxing,2082
problems,2082
asian,2077
heart,2077
kid,2075
peppers,2071
looked like,2066
bun,2065
gift,2063
vegetables,2058
nachos,2053
gumbo,2052
gym,2050
second time,2049
paper,2048
quarter,2046
mushrooms,2045
broth,2042
nearby,2037
plain,2036
tap,2036
watching,2035
food came,2034
send,2033
honey,2032
slices,2032
mother,2031
heavy,2030
rush,2029
service food,2028
texture,2027
driving,2026
safe,2026
hidden,2024
didn want,2023
mexican food,2022
actual,2020
topped,2018
meet,2016
bunch,2016
modern,2013
smile,2010
nearly,2010
country,2008
lucky,2006
welcome,2006
product,2006
straight,2005
insurance,2004
appreciated,2004
higher,2002
exceptional,1999
zero,1997
dine,1996
refund,1996
additional,1996
provide,1995
year old,1988
cookies,1984
informed,1984
response,1983
pain,1983
living,1982
mess,1982
friendly service,1981
kinda,1980
post,1974
cars,1972
baby,1969
meats,1967
garden,1966
willing,1963
similar,1959
smoked,1958
trust,1958
staying,1957
good place,1950
brown,1950
calling,1950
offers,1945
email,1944
don want,1944
raw,1933
orange,1931
fee,1930
little bit,1927
bites,1927
key,1921
picture,1920
locations,1917
compared,1916
booked,1912
story,1910
rate,1908
prior,1908
greens,1905
particular,1902
personally,1898
reasonably priced,1897
station,1892
telling,1892
pulled pork,1885
sister,1885
brand,1885
looking forward,1882
calamari,1881
buying,1879
ran,1879
margarita,1879
notice,1878
broken,1876
pricing,1876
quality food,1875
doctor,1875
hang,1873
fast food,1871
bars,1870
iced,1870
let know,1870
finding,1867
flat,1866
ridiculous,1866
complaints,1863
king,1860
west,1859
receive,1855
absolute,1854
mushroom,1854
ve tried,1852
service excellent,1851
owned,1850
tough,1850
opening,1849
don like,1846
hadn,1840
moment,1839
didn know,1838
craft,1838
information,1836
gluten free,1834
driver,1833
requested,1833
great time,1830
ladies,1824
tons,1823
french toast,1820
likely,1818
soggy,1818
lines,1816
took minutes,1816
looks like,1813
standing,1812
walls,1812
upstairs,1811
correct,1811
imagine,1810
roast,1808
cooking,1808
tuesday,1808
sense,1805
po,1804
hoping,1803
sized,1802
drop,1802
wrap,1798
important,1797
pad,1797
takeout,1797
pre,1792
courteous,1791
cashier,1791
overly,1790
loves,1788
stick,1788
arrive,1787
drove,1782
machine,1781
anymore,1779
beer selection,1779
yeah,1776
parts,1776
bourbon,1770
wanting,1770
contact,1768
service friendly,1767
shops,1767
member,1767
movie,1766
crawfish,1765
korean,1765
great atmosphere,1764
skin,1762
waited minutes,1760
really like,1759
biscuits,1759
bakery,1758
cause,1757
popular,1757
board,1756
ve seen,1751
coconut,1751
step,1751
visits,1750
bucks,1749
guacamole,1746
realized,1742
ambience,1741
consistently,1741
buffalo,1741
hummus,1738
soda,1735
ton,1735
stated,1731
decided try,1731
furniture,1730
disgusting,1729
venue,1727
minutes later,1727
presentation,1726
sold,1724
daily,1721
schedule,1721
tofu,1720
dumplings,1719
strip,1719
explain,1717
scallops,1716
history,1715
greek,1714
bagel,1709
fried rice,1709
filet,1706
wide,1706
carry,1705
pot,1705
recent,1702
areas,1701
highly recommended,1700
calls,1697
weather,1697
cuisine,1696
larger,1695
dont,1690
talked,1687
prompt,1685
discount,1684
recommendations,1682
seasoning,1680
host,1680
strawberry,1679
dining experience,1679
gel,1679
sports,1677
friday night,1676
southern,1671
answered,1671
girlfriend,1667
ride,1666
delicious food,1663
pudding,1662
feels,1660
steaks,1659
complain,1659
suggested,1650
food just,1650
disappointment,1649
setting,1648
crisp,1648
definitely worth,1647
belly,1647
try place,1646
saturday night,1644
tire,1643
round,1642
burnt,1639
patrons,1637
feet,1637
margaritas,1637
difference,1636
funny,1635
excellent service,1635
allowed,1635
women,1633
crunchy,1632
consider,1630
health,1629
selections,1626
live music,1623
gives,1622
indy,1621
cookie,1619
helping,1619
dropped,1618
definitely come,1616
unprofessional,1616
bigger,1614
spa,1613
older,1613
lacking,1613
certain,1611
damn,1609
nd,1609
bother,1609
waffle,1609
complimentary,1608
sweet potato,1606
outdoor seating,1605
treatment,1604
eyes,1601
flight,1601
cuban,1600
fault,1599
refreshing,1599
kick,1598
replaced,1597
fat,1597
bike,1593
major,1588
hole,1585
self,1585
grocery,1583
decide,1581
pet,1581
enjoyable,1581
just like,1580
combination,1579
benedict,1579
question,1579
omg,1579
opted,1579
groupon,1577
mini,1577
range,1576
gross,1575
missed,1570
rushed,1569
follow,1569
prime,1568
really great,1567
cheaper,1567
mood,1566
california,1565
doors,1565
band,1564
thursday,1563
recommendation,1562
place good,1561
sound,1560
earlier,1558
prices reasonable,1557
pop,1556
like place,1555
moist,1554
smoke,1553
banana,1552
property,1551
pleasantly,1550
weekends,1549
drinking,1549
body,1545
fall,1540
figured,1538
rings,1537
somewhat,1535
par,1533
ll definitely,1532
amazing food,1532
sample,1530
figure,1529
deliver,1529
shame,1529
bay,1528
christmas,1527
mashed,1527
broccoli,1527
cheesecake,1526
noodle,1526
windows,1525
apartment,1524
generally,1522
starbucks,1520
refused,1520
dollar,1513
various,1513
closer,1512
register,1512
lobby,1511
mango,1511
stuck,1509
putting,1509
creative,1507
odd,1507
menus,1506
shows,1504
properly,1502
types,1501
sub,1501
rock,1501
promptly,1496
cover,1494
bright,1493
good time,1492
just ok,1491
deli,1490
personable,1490
sick,1489
closing,1484
separate,1482
travel,1482
sale,1479
food excellent,1478
bean,1477
tech,1472
realize,1471
fell,1471
mary,1467
gorgeous,1466
community,1466
vanilla,1464
members,1462
clothes,1459
credit card,1459
wednesday,1458
east,1455
sprouts,1455
shower,1454
scheduled,1453
latte,1452
dozen,1450
goat,1449
food drinks,1449
ve eaten,1447
sizes,1447
museum,1446
bloody,1445
ham,1445
manicure,1442
polish,1441
dining room,1441
department,1439
upset,1438
wear,1436
hopefully,1433
plastic,1432
cajun,1431
nice place,1429
pub,1428
bringing,1427
goodness,1426
oyster,1426
passed,1423
private,1420
facility,1419
florida,1419
photos,1416
bathrooms,1416
agreed,1414
vietnamese,1412
doubt,1409
typically,1408
following,1407
peanut,1406
vet,1402
particularly,1401
pickles,1401
stood,1400
words,1399
super nice,1398
interested,1396
impressive,1396
donut,1394
biscuit,1393
chewy,1392
consistent,1390
crew,1390
locals,1389
did great,1389
possibly,1388
loaded,1387
miles,1384
surprisingly,1384
trash,1382
wines,1381
hash,1380
site,1380
noise,1379
look forward,1379
specialty,1376
dealership,1376
screen,1375
hubby,1373
delish,1372
olive,1371
glad did,1368
po boy,1364
sadly,1364
god,1362
classes,1359
changes,1359
cat,1358
staff great,1356
savory,1356
handle,1353
haircut,1351
allow,1350
apart,1349
just good,1348
mayo,1348
enjoying,1346
events,1346
men,1344
child,1344
cinnamon,1342
alcohol,1342
wood,1340
eggplant,1340
distance,1338
dough,1337
guest,1337
catch,1337
spectacular,1337
john,1335
cards,1334
block,1334
advice,1333
hell,1333
stylist,1333
place eat,1333
joke,1331
lower,1331
superb,1327
needless,1327
knowing,1326
regret,1326
mussels,1326
pastries,1325
chair,1323
wants,1323
good experience,1322
absolutely delicious,1322
pad thai,1321
decision,1318
joe,1318
lime,1318
college,1318
biggest,1317
shoes,1316
parents,1315
bowls,1315
desert,1314
chicago,1312
pleasantly surprised,1312
needless say,1312
waffles,1312
meatballs,1311
receipt,1311
favor,1309
food really,1308
training,1307
food fresh,1306
delightful,1306
constantly,1306
luck,1305
staff super,1305
learned,1303
vacation,1302
took time,1302
uncomfortable,1302
chill,1297
wearing,1294
agree,1293
frequent,1290
chipotle,1289
byob,1288
time went,1287
great selection,1287
staff nice,1287
smooth,1286
love love,1284
worth wait,1283
toasted,1282
entrance,1282
place just,1278
dipping,1278
gas,1277
design,1276
hill,1276
look like,1276
version,1273
laid,1270
ginger,1270
foot,1269
pita,1267
test,1267
square,1266
offering,1265
suggestions,1264
overcooked,1262
high quality,1260
lights,1259
nasty,1257
chicken sandwich,1255
ring,1254
ground,1254
slaw,1253
points,1253
im,1252
mashed potatoes,1252
inviting,1252
luckily,1251
late night,1247
dentist,1247
tires,1247
indoor,1247
didn like,1245
listen,1245
maintenance,1243
skip,1243
social,1241
meh,1241
meeting,1239
coupon,1239
security,1238
wait time,1238
wait minutes,1237
rent,1237
spacious,1237
spending,1234
followed,1234
pleasure,1233
writing,1231
pull,1230
groups,1230
garage,1230
wrapped,1229
japanese,1226
waste time,1226
cooked perfectly,1226
pete,1226
relaxed,1224
concept,1224
bagels,1223
produce,1223
picky,1223
hanging,1222
beware,1222
booth,1221
caesar,1220
melted,1219
replace,1219
menu items,1217
theater,1217
queso,1216
oven,1215
oz,1214
terrific,1214
long wait,1211
occasion,1211
natural,1210
chip,1209
french quarter,1209
aside,1208
parties,1206
rental,1205
excuse,1205
gyro,1204
account,1202
refill,1201
hospital,1200
shouldn,1198
upscale,1197
heaven,1196
time ve,1196
season,1196
mustard,1196
chinese food,1196
wanted try,1196
goods,1195
sea,1194
didnt,1193
decorated,1193
include,1193
shake,1191
occasions,1190
equipment,1189
learn,1187
vegetable,1185
tortilla,1185
strange,1184
scene,1183
extensive,1180
leaves,1180
wonder,1178
apologized,1178
watched,1178
famous,1176
results,1175
rd,1175
multiple times,1175
comfort,1174
comment,1174
bottles,1174
bad experience,1172
refills,1172
freshly,1171
pineapple,1171
ticket,1169
ranch,1169
mark,1169
accommodate,1169
basil,1168
hey,1166
north,1166
awhile,1166
tips,1163
warranty,1162
specific,1162
lounge,1161
policy,1161
place food,1159
treats,1157
advance,1157
bone,1156
good thing,1156
fully,1155
stock,1154
sun,1153
aware,1152
pork belly,1152
proceeded,1150
giant,1149
admit,1148
unlike,1147
mozzarella,1147
planning,1146
ny,1146
beginning,1145
fare,1144
place really,1143
bonus,1142
soups,1140
smelled,1140
starting,1139
leftovers,1138
bus,1137
effort,1136
onion rings,1135
dad,1135
beautifully,1135
bomb,1134
chips salsa,1134
frequently,1131
photo,1129
stay away,1129
eventually,1128
mask,1128
throw,1127
lighting,1125
sliced,1125
friendly attentive,1123
yogurt,1122
apps,1121
thoroughly,1120
bar area,1120
package,1119
excellent food,1119
bank,1118
blown,1117
snack,1117
far best,1115
boys,1114
keeping,1114
did disappoint,1113
probably best,1112
gentleman,1111
good things,1109
manner,1109
good great,1109
coffee shop,1107
ignored,1106
great staff,1105
holiday,1104
york,1104
specifically,1103
place clean,1102
pressure,1102
parmesan,1102
tortillas,1102
deals,1102
continued,1100
thorough,1099
finally got,1098
discovered,1098
numerous,1098
ball,1098
began,1098
guide,1096
alright,1095
ravioli,1095
ordered chicken,1095
organized,1094
annoying,1094
omelette,1094
shell,1094
el,1093
offerings,1093
great location,1093
bags,1092
taste like,1091
